,ret,bin,start,data
2015-03-16,0.006807929745824781,1.0,2015-03-09,[208.360001 204.979996 204.5      207.100006 205.830002 208.580002]
2015-03-23,-0.008333333333333304,-1.0,2015-03-16,[208.580002 207.960007 210.460007 209.5      210.410004 210.      ]
2015-03-30,-0.002016797118847502,-1.0,2015-03-23,[210.       208.820007 205.759995 205.270004 205.740005 208.25    ]
2015-04-07,0.008732135318082479,1.0,2015-03-31,[206.429993 205.699997 206.440002 207.830002 207.279999]
2015-04-14,0.0017184638474756486,-1.0,2015-04-07,[207.279999 207.979996 208.899994 210.039993 209.089996 209.490005]
2015-04-21,0.005582051366926022,1.0,2015-04-14,[209.490005 210.429993 210.369995 207.949997 209.850006 209.600006]
2015-04-28,-0.0005675132371594227,-1.0,2015-04-21,[209.600006 210.630005 211.160004 211.649994 210.770004 211.440002]
2015-05-05,0.008185768545306837,1.0,2015-04-28,[211.440002 210.570007 208.460007 210.720001 211.320007 208.899994]
2015-05-12,0.014858605864531915,1.0,2015-05-05,[208.899994 208.039993 208.869995 211.619995 210.610001 209.979996]
2015-05-19,-0.010937436093214292,-1.0,2015-05-12,[209.979996 210.020004 212.210007 212.440002 213.100006 213.029999]
2015-05-27,-0.005312599980901944,-1.0,2015-05-20,[212.880005 213.5      212.990005 210.699997 212.699997]
2015-06-03,-0.016515666445032662,-1.0,2015-05-27,[212.699997 212.460007 211.139999 211.570007 211.360001 211.919998]
2015-06-10,-0.008816841762808503,-1.0,2015-06-03,[211.919998 210.130005 209.770004 208.419998 208.449997 210.960007]
2015-06-17,0.006173146990325451,1.0,2015-06-10,[210.960007 211.649994 209.929993 209.100006 210.25     210.589996]
2015-06-24,-0.023941827560254536,-1.0,2015-06-17,[210.589996 212.710007 210.809998 211.889999 212.050003 210.509995]
2015-07-09,0.028906239810943646,1.0,2015-07-02,[207.320007 206.669998 208.009995 204.529999 204.800003]
2015-07-23,-0.003949752564717635,-1.0,2015-07-16,[212.270004 212.470001 212.619995 211.759995 211.289993 210.139999]
2015-07-30,-0.0071150742348660145,-1.0,2015-07-23,[210.139999 207.940002 206.740005 209.309998 210.770004 210.820007]
2015-08-06,0.0014878713274431021,1.0,2015-07-30,[210.820007 210.449997 209.729996 209.320007 210.100006 208.350006]
