,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,action,index
0,-0.0006799999999999999,-0.016030000000000003,0.00507,-0.01616,-0.00687,-0.008020000000000001,0.0196,0.02473,-0.00126,0.0046,0.00135,0.0001,0.00322,0.00134,-0.005370000000000001,-0.00992,-0.00054,-0.01806,-0.00942,0.01246,0.01775,-0.00801,-0.00783,-0.00281,-0.00604,-0.00916,0.01311,0.00213,0.00505,0.01487,-0.00548,0.00234,-0.01319,-0.012819999999999998,0.00924,-0.01257,0.01238,0.01446,-0.00381,0.0101,-0.00277,-0.00448,0.01065,0.00058,0.00962,0.00412,0.00157,0.0001,-0.0007099999999999999,0.006,0,330
1,-0.00036,-0.01802,0.00599,0.00157,-0.01905,-0.01346,5e-05,-0.00086,-0.01301,0.02062,0.016880000000000003,0.01633,-0.0041,-0.00047,0.014480000000000003,-0.01263,0.00458,0.01211,-0.0023,-0.00784,0.02351,0.00449,0.00392,0.00325,0.0008,-0.01092,0.00494,0.0008,0.01614,-0.00128,-0.0016300000000000002,0.00579,0.00634,-0.00122,0.0014199999999999998,-0.00054,-0.0066,-0.00044,0.00059,0.00925,0.00439,-0.00243,0.006809999999999999,-0.00324,-0.00999,0.01092,-0.01197,0.0027,-0.00235,0.00931,1,617
2,0.01162,0.0077,-0.00137,0.01147,-0.00151,0.006409999999999999,0.01144,0.00055,-0.0034700000000000004,0.00632,0.004,0.00094,0.00315,0.00098,-0.00108,0.00113,0.00024,0.00064,0.00577,-0.00161,0.00175,0.00535,0.00281,-0.00072,0.00256,-0.00212,-0.00695,0.00646,0.00386,-0.00111,0.00164,-0.006679999999999999,-0.0006799999999999999,-0.016030000000000003,0.00507,-0.01616,-0.00687,-0.008020000000000001,0.0196,0.02473,-0.00126,0.0046,0.00135,0.0001,0.00322,0.00134,-0.005370000000000001,-0.00992,-0.00054,-0.01806,1,298
3,-0.02393,0.01435,-0.01438,-0.00038,0.00999,-0.008870000000000001,0.00019,5e-05,0.01125,0.0063,-0.00548,-0.0081,0.00621,0.00496,-0.00905,0.00755,-0.0024,-0.0051,0.00443,0.0007,-0.00343,0.00521,-0.01263,0.00131,-0.00328,0.0005200000000000001,-0.0034700000000000004,0.00626,0.00267,-0.00187,0.00047,0.00425,-0.00335,-0.00201,-0.00267,-0.00296,5e-05,-0.00725,-0.00602,-0.00458,-0.0011,0.02206,0.0045,0.0106,0.0025,-0.0023,0.00079,0.0078,-0.00188,0.00514,0,771
4,0.01633,-0.0041,-0.00047,0.014480000000000003,-0.01263,0.00458,0.01211,-0.0023,-0.00784,0.02351,0.00449,0.00392,0.00325,0.0008,-0.01092,0.00494,0.0008,0.01614,-0.00128,-0.0016300000000000002,0.00579,0.00634,-0.00122,0.0014199999999999998,-0.00054,-0.0066,-0.00044,0.00059,0.00925,0.00439,-0.00243,0.006809999999999999,-0.00324,-0.00999,0.01092,-0.01197,0.0027,-0.00235,0.00931,0.0101,5e-05,-0.00111,0.00703,0.00315,0.00095,-0.005379999999999999,0.0,-0.00172,0.00149,0.00206,0,628
5,-0.00558,-0.0002,0.00366,0.0008300000000000001,0.01243,-0.00935,0.00029,-0.008709999999999999,0.00987,-0.00933,0.00029,-0.00346,0.00632,-0.00136,0.01296,0.00678,0.00029,0.0043,-0.0019,0.00205,0.00304,-0.00299,0.00509,0.00156,0.0032600000000000003,-0.00137,-0.00948,-0.00771,-0.00197,-0.00139,0.00298,-0.008879999999999999,0.00644,0.00284,-0.0016300000000000002,0.01302,-0.035910000000000004,-0.01791,0.01804,0.01703,0.01365,0.0021,-0.00719,0.006,-0.00062,0.01489,0.00353,0.007259999999999998,-0.00014,0.00558,0,682
6,0.00301,0.00176,-0.00011,-0.00409,0.0032,0.00634,-0.00384,-0.0005200000000000001,0.00206,-0.00026000000000000003,-0.0012,0.00049,0.00206,-0.00377,0.00716,0.00633,0.00421,0.006659999999999999,0.00183,0.0022600000000000003,-0.00153,0.0073,0.006520000000000001,-0.0034200000000000003,0.00953,-0.00168,0.00455,0.00813,0.00212,-0.00039,0.00042,0.01158,-0.00663,-0.01026,0.0005,-0.00114,-0.02177,-0.04182,0.0197,-0.00542,-0.03751,0.01502,0.01468,0.00249,0.0135,0.01276,0.00029,-0.00626,-0.0049700000000000005,0.0013,1,1087
7,0.00281,-0.00102,0.0006,-0.00119,-0.004379999999999999,-0.006490000000000001,0.00886,-0.00298,-0.00184,0.008140000000000001,-0.00319,0.011,0.0058200000000000005,-0.00063,0.00084,-0.00218,0.00252,0.00038,-0.00121,0.00117,0.00394,-0.00017,-0.00092,0.0018,-0.00204,-0.0016699999999999998,0.005520000000000001,-0.00092,-0.017740000000000002,0.00403,0.0065,0.00508,0.00221,0.00233,0.00478,-0.00021,-0.0008699999999999999,-0.00025,0.00795,0.00333,-0.00074,-0.0032,0.00185,0.00049,-0.00152,-0.00021,0.00489,-0.00127,-0.00192,-0.00464,1,915
8,0.01665,0.01126,-0.00255,-0.00203,0.01147,-0.00024,-0.0046,0.01183,0.0029,-0.00294,-0.00109,-0.0005200000000000001,-0.00933,0.00231,-0.00393,-0.01396,-0.01123,0.01521,-0.00073,0.01587,-0.00086,0.00364,-0.00115,0.00134,-0.00014,0.00115,-0.00415,0.00954,-0.01021,-0.014,0.0195,-0.00606,-0.00672,-0.00778,0.0025800000000000003,-0.01938,0.00505,0.0105,0.01463,-0.01524,-0.02363,0.00825,0.00907,0.01238,-0.00165,-0.00229,0.01067,-0.007090000000000002,-0.01,-0.01398,1,549
9,0.00367,-0.0063,0.00842,0.00243,0.0040100000000000005,0.00615,-0.00073,0.00517,0.00161,0.00114,-0.0005200000000000001,0.00202,0.006520000000000001,0.00478,0.00102,0.0001,-0.00348,-0.00708,0.00305,0.00082,0.00278,0.00734,0.00112,-0.00275,-0.00031,-0.00602,0.004520000000000001,-0.00072,0.00194,-0.0005099999999999999,0.006690000000000001,0.00102,0.00492,-0.00348,-0.00643,0.00448,-0.00396,0.0013800000000000002,0.00504,-0.00187,0.0037,-0.01137,0.01022,-0.00187,0.00436,0.00222,5e-05,-0.00468,0.0004,-0.0043,1,188
